"symptom","keywords","description_1","medicine_1","doctor_consult_1","food_suggestions_1","lifestyle_suggestions_1","description_2","medicine_2","doctor_consult_2","food_suggestions_2","lifestyle_suggestions_2","description_3","medicine_3","doctor_consult_3","food_suggestions_3","lifestyle_suggestions_3"
"Fever","fever;bukhar;high temp;temperature;feeling hot;burning up;shivering;feverish;tapman;pyrexia;mild fever;viral fever","It sounds like you have a mild fever. This is usually your body's way of fighting off an infection. You might feel weak or have chills.","Paracetamol (Dolo 650mg or Crocin Advance) every 6 hours if needed for temperature above 100°F.","Consult if fever exceeds 102°F or lasts more than 3 days.","HAVE: Khichdi;dalia;clear soups;coconut water. AVOID: Spicy oily foods;cold drinks.","Rest as much as possible. Keep hydrated. Use a damp cloth on forehead if temp is high.","Your fever seems persistent. When it lasts more than a couple of days it can be draining and might indicate a specific viral or bacterial cause.","Continue Paracetamol as needed. Add ORS (Electral) to water to prevent dehydration.","See a doctor if you have severe headache;stiff neck;rash;or if fever doesn't break with meds.","HAVE: Bland home cooked food;fruit juices (non-citrus);warm water. AVOID: Processed foods;heavy dairy.","Monitor temperature every 4 hours. Keep the room airy but comfortable. Avoid heavy blankets if burning up.","A high or long-lasting fever needs attention. It can lead to severe dehydration and indicates your body is struggling to fight the infection alone.","Do not exceed 4g Paracetamol in 24hrs. Focus heavily on hydration with ORS.","URGENT: Consult immediately if fever is >103°F;you have confusion;breathing trouble;or haven't urinated in 8+ hours.","HAVE: Liquid diet if solids are hard to eat;warm turmeric milk. AVOID: forcing heavy meals.","Complete bed rest is mandatory. Sponge entire body with lukewarm water (not cold) to bring down high heat."
"Common Cold","cold;sardi;jukam;runny nose;blocked nose;stuffy nose;sneezing;nasal congestion;watery eyes;head heavy;caught a chill","You likely have a common cold. It's a viral infection of your nose and throat that's usually harmless, although it might not feel that way.","Steam inhalation. OTC meds like Vicks Action 500 or plain Cetirizine at night for runny nose.","Consult if symptoms last >10 days or if you develop high fever or severe ear pain.","HAVE: Warm soups;ginger tea (adrak chai);warm water. AVOID: Cold items like ice cream;curd at night.","Take steam 2-3 times a day. Sleep with an extra pillow to ease congestion. Wash hands frequently.","If your cold is persisting, you might be feeling very congested. The mucus might have thickened making breathing through your nose difficult.","Use nasal decongestant drops (like Otrivin) for max 3 days. Continue steam with eucalyptus oil.","Consult if you have wheezing;severe sinus pain;or if mucus turns thick yellow/green for days.","HAVE: Chicken soup;besan sheera;citrus fruits for Vitamin C. AVOID: Dairy if it increases phlegm.","Gargle with warm salt water. Use a handkerchief when sneezing to prevent spread. Rest your voice.","A severe or long-lasting cold can sometimes turn into sinusitis or bronchitis. You need to watch out for secondary infections.","Continue supportive care. Avoid overusing decongestant sprays as they can cause rebound congestion.","Consult NOW if you have high fever with shaking chills;cough with colored phlegm;or trouble breathing.","HAVE: Warm nourishing liquids;honey and warm water. AVOID: Sugary drinks;alcohol;smoking.","Stay home to avoid spreading it. Maintain humidity in your room if possible. Hydrate aggressively."
"Dry Cough","dry cough;sukhi khasi;tickle in throat;hacking cough;persistent cough;coughing fits;throat irritation;no phlegm;khasi","A dry cough doesn't produce mucus but can be very annoying. It's often caused by viral after-effects;allergies;or dry air.","Lozenges (Strepsils/Vicks). Cough suppressants like Benadryl DR syrup (contains Dextromethorphan) 5-10ml at night.","Consult if cough lasts >2 weeks or is severe enough to cause vomiting or rib pain.","HAVE: Honey in warm water;turmeric milk (haldi doodh). AVOID: Dry snacks that can scratch throat;very cold water.","Hydrate well to keep throat moist. Avoid smoke and dust. Try a humidifier in your room.","A persistent dry cough can disrupt sleep and leave your throat sore. It might be lingering from a recent cold or due to pollution.","Continue lozenges. Steam inhalation can sometimes soothe the irritation. Consider an anti-allergic if it's seasonal.","See a doctor if you have weight loss;night sweats;or if you are a smoker with a new cough.","HAVE: Ginger-honey juice;warm herbal teas. AVOID: Fried foods;spicy chilies which can trigger cough reflex.","Sleep propped up. sucking on hard candy can keep throat moist during the day. Avoid talking too much.","Severe hacking coughs need evaluation to rule out asthma or infection. It can be exhausting and cause muscle strain.","Medical evaluation needed for prescription strength suppressants or inhalers if asthmatic component exists.","URGENT: Consult if coughing up blood;severe shortness of breath;or chest tightness occurs.","HAVE: Soothing warm liquids only. AVOID: anything crunchy;acidic foods that might cause reflux.","Strict voice rest. Minimize exposure to any known allergens or strong smells (perfumes/agarbatti)."
"Wet Cough","wet cough;balgam wali khasi;productive cough;cough with mucus;chest congestion;phlegm;rattling chest;coughing up sputum","A wet cough means your body is producing phlegm to clear an infection. It's good to let it out rather than suppressing it too much.","Expectorants like Ascoril LS or Grilinctus-BM (consult pharmacist for dosage). Steam is crucial.","Consult if phlegm is green;brown;or bloody;or if accompanied by high fever >101°F.","HAVE: Warm water;clear soups;pineapple juice (natural mild expectorant). AVOID: Thick dairy;banana at night.","Take steam to loosen mucus. Spit out the phlegm;don't swallow it. Stay upright during the day.","If chest congestion is heavy, you might feel a rattling when you breathe. We need to thin that mucus so it comes out easily.","Mucolytic agents (like Acetylcysteine sachets) can help thin thick mucus. Continue regular steam.","See a doctor if breathing becomes difficult or you hear wheezing (whistling sound) when breathing.","HAVE: Spicy soups (pepper helps thin mucus);garlic;ginger. AVOID: Cold milk;curd;sweets.","Perform gentle chest physiotherapy (patting on back) to loosen phlegm. Stay well hydrated to thin mucus.","Severe chest congestion can lead to bronchitis or pneumonia if not managed. Don't ignore it if you feel 'drowning' in phlegm.","Doctor may prescribe antibiotics if bacterial infection is suspected. Do not self-medicate with antibiotics.","URGENT: Consult if lips/nails turn blue during coughing fits;high fever;or severe chest pain.","HAVE: Warm fluids constantly. AVOID: Heavy oily meals that increase sluggishness.","Sleep with head elevated. Monitor oxygen levels if you have a pulse oximeter at home."
"Headache","headache;sir dard;sar dard;head pain;throbbing head;splitting headache;heavy head;tension headache;forehead pain;temple pain","Most headaches are due to tension;dehydration;or lack of sleep. It usually feels like a tight band around your forehead.","Drink 2 glasses of water immediately. Rest in a quiet room. Balm (Tiger Balm/Iodex) on forehead may help.","Consult if it's the 'worst headache of your life' or happens after a head injury.","HAVE: Water;herbal tea;small snack if hungry. AVOID: Caffeine overdose;processed meats;aged cheese.","Screen break: look away from phone/laptop. Gentle neck stretches. Deep breathing for 5 mins.","If the headache is persistent, it might be a migraine or due to prolonged eye strain or stress. It can be throbbing on one side.","Paracetamol (Crocin) 500mg. If known migraine, take your specific prescribed medication early.","See a doctor if headaches are frequent (>3/week) or waking you up from sleep.","HAVE: Ginger tea (good for migraine nausea);magnesium rich foods like almonds. AVOID: Alcohol;MSG (Ajinomoto).","Apply cold pack to forehead or warm pack to neck. Dim the lights. Minimize noise.","Severe, unrelenting headaches need medical attention to rule out serious causes like BP issues or neurological problems.","Stronger NSAIDs (like Naproxen) only if prescribed. Avoid medication overuse headache by not taking painkillers daily.","URGENT: Consult if accompanied by slurred speech;vision loss;stiff neck;or high fever.","HAVE: Simple hydration. AVOID: Skipping meals which can trigger blood sugar headaches.","Complete sensory rest in a dark;silent room. Practice progressive muscle relaxation."
"Acidity/Gas","acidity;gas;pet jalna;heartburn;acid reflux;gastric;bloating;sour burps;khatti dakar;chest burn;stomach heavy","Acidity happens when stomach acid flows back up. It causes a burning sensation in your chest or throat, often after spicy food.","Antacids like Digene/Gelusil liquid (2 tsp) or ENO powder in water for quick relief. Walk around gently.","Consult if you need antacids daily for >2 weeks or have difficulty swallowing.","HAVE: Cold milk (small amount);bananas;fennel seeds (saunf) after meals. AVOID: Chillies;fried food;coffee;citrus.","Don't lie down immediately after eating. Wear loose clothes around your waist.","Persistent acidity might be GERD. You might feel a constant sour taste or have a dry cough from the acid irritation.","Proton Pump Inhibitors (like Pantocid DSR) *empty stomach* in morning if prescribed by doctor for few days.","See doctor if you have unexplained weight loss;black stools;or severe chest pain (rule out heart issues).","HAVE: Oatmeal;non-acidic fruits (melons);ginger. AVOID: Tomatoes;garlic;raw onions;chocolate.","Elevate the head of your bed by 6 inches. Eat smaller;more frequent meals instead of 3 large ones.","Severe acidity can damage your food pipe. If it feels like food is stuck in your chest or pain is radiating to jaw/arm, be careful.","Strict adherence to prescribed GERD medication. Do not ignore chest pain - if unsure, get ECG.","URGENT: Consult if vomit looks like coffee grounds or stool is tarry black (signs of internal bleeding).","HAVE: Very bland diet (boiled potatoes;plain rice). AVOID: Alcohol and smoking completely.","Last meal should be 3 hours before bedtime. Sleep on your LEFT side to reduce reflux."
"Diarrhea","diarrhea;loose motion;dast;pet kharab;watery stools;running stomach;stomach upset;frequent bathroom visits;dysentery","Loose motions are usually caused by a viral bug or food that didn't agree with you. The main goal is to prevent dehydration.","ORS (Electral/Ciplar-ORS) is most important - sip after every loose stool. Probiotic like Sporolac can help.","Consult if >10 motions in 24hrs;blood in stool;or severe dehydration signs (dry mouth;no urine).","HAVE: Banana;Rice;Applesauce;Toast (BRAT diet);curd rice;Khichdi. AVOID: Milk;spicy curries;raw salads;fruits (except banana).","Rest. Wash hands thoroughly after toilet use. Use separate towel to avoid spreading infection.","If it's continuing for more than a day, your gut lining is irritated. You might feel weak and have cramping.","Add Zinc supplements (often prescribed for 14 days) to aid gut recovery. Continue aggressive ORS.","See doctor if high fever develops or severe abdominal pain that doesn't go away after passing stool.","HAVE: Pomegranate juice (strained);coconut water;buttermilk (chaas) without spice. AVOID: Caffeine;alcohol;fruit juices with high sugar.","Apply petroleum jelly to anal area if sore from frequent wiping. continuing resting.","Severe diarrhea can be dangerous due to rapid fluid loss. Bacterial infections like typhoid need different treatment.","Antibiotics ONLY if prescribed by doctor after stool test. Do not take anti-motility drugs (Lomotil) without advice.","URGENT: Consult if patient is elderly/infant and lethargic;or if severe dizziness occurs upon standing.","HAVE: Sip clear fluids constantly. AVOID: Any solid food if vomiting is also present until it settles.","Monitor urine output - it should be clear/light yellow. Dark urine means MORE fluids needed."
"Stomach Ache","stomach ache;pet dard;abdominal pain;tummy ache;belly pain;cramps in stomach;stomach hurting;pain in abdomen","A general stomach ache can be from gas, indigestion, or something you ate. It often settles on its own with rest.","Try applying a warm water bag or heating pad to the tummy. Sip warm water with ajwain (carom seeds).","Consult if pain is severe;localized to one specific point (especially lower right);or accompanied by fever.","HAVE: Plain khichdi;curd;peppermint tea. AVOID: Heavy;oily;spicy meals;beans/rajma.","Lie down and rest. Gently massage the abdomen in a clockwise direction.","If the pain is persistent and crampy, it might be an infection or IBS. It comes and goes in waves.","Antispasmodic (like Cyclopam/Meftal-Spas) ONLY if pain is unbearable and you know the cause (e.g., periods/known gas).","See doctor if pain radiates to back/shoulder;or if you also have vomiting and inability to pass gas.","HAVE: Easy to digest foods;soup;boiled vegetables. AVOID: Raw vegetables;dairy if lactose intolerant.","Try to pass stool or gas;it often relieves the pain. Avoid tight waistbands.","Severe, sharp, or constant abdominal pain needs medical checks to rule out appendicitis, stones, or serious infections.","Do not take strong painkillers before doctor sees you as it can mask important signs for diagnosis.","URGENT: Consult if abdomen is rigid/hard to touch;vomiting blood;or pain after injury to belly.","HAVE: Nothing by mouth if heading to hospital. AVOID: Eating until cause is known if severe.","Keep track of where exactly it hurts to tell the doctor (upper/lower;left/right)."
"Vomiting/Nausea","vomiting;ulti;nausea;feeling pukish;michli;thowing up;stomach upset;sick to stomach;retching;gagging","Nausea is that uneasy feeling that you might throw up. It's common with food poisoning, motion sickness, or viral bugs.","Sip ice cold water or suck on ice chips. Ginger candies or raw ginger can be very effective.","Consult if vomiting lasts >24hrs;can't keep ANY fluids down;or signs of dehydration appear.","HAVE: Dry toast;crackers;plain rice later. AVOID: Strong smelling foods;oily/creamy foods;milk.","Sit upright after eating;don't lie flat. Get fresh air. Avoid looking at screens if that triggers it.","Frequent vomiting can quickly lead to dehydration. Your stomach is very irritated and rejecting contents.","Antiemetic meds (like Ondansetron/Vomikind) may be needed if prescribed to stop the cycle and allow hydration.","See doctor if vomit contains blood or looks like ground coffee;or accompanied by severe headache.","HAVE: ORS sips;coconut water;lemon water with pinch of salt and sugar. AVOID: forcing full meals.","Rest in a propped-up position. Rinse mouth after vomiting but wait a bit before brushing teeth.","Severe vomiting that doesn't stop is a medical emergency due to electrolyte imbalance risks.","Hospital might need to give IV fluids if oral intake is impossible.","URGENT: Consult if accompanied by severe stiff neck;confusion;or severe abdominal pain.","HAVE: Clear liquids only until 6 hours passed without vomiting. AVOID: Solid food completely during active phase.","Keep a bowl nearby to reduce anxiety about making a mess. Stay in a cool room."
"Throat Pain","throat pain;gale mein dard;sore throat;kharash;pain while swallowing;strep throat;itchy throat;hoarse voice","A sore throat is often the first sign of a cold. It feels scratchy, painful, and it might hurt to swallow.","Gargle with warm salt water 3-4 times a day. Betadine gargles are also effective.","Consult if severe pain prevents drinking fluids;or if you see white patches on tonsils (in mirror).","HAVE: Warm soups;honey;soft foods like khichdi/upma. AVOID: Crunchy snacks;very spicy food;cold drinks.","Rest your voice. Don't whisper (it strains more). Stay hydrated to keep throat moist.","If it's persisting, it could be strep (bacterial) or viral pharyngitis. Your glands in the neck might feel swollen.","Paracetamol or Ibuprofen can help reduce throat pain and inflammation. Continue gargles.","See doctor if you also have high fever (>101°F) without cold symptoms (could be Strep).","HAVE: Turmeric milk;lukewarm water;mashed potatoes. AVOID: Acidic fruits like oranges which might sting.","Use a humidifier. Avoid smoking or passive smoke completely.","Severe throat pain with drooling or difficulty breathing is an emergency. It might indicate an abscess.","Antibiotics (like Azithromycin/Amoxicillin) ONLY if doctor confirms bacterial infection.","URGENT: Consult if you have difficulty breathing;drooling;or can't open mouth fully.","HAVE: Cool or warm liquids, whichever feels better. Popsicles can sometimes numb the pain. AVOID: Very hot liquids.","Monitor for rash or joint pain which can sometimes follow untreated strep throat."
